title,app_id,app_type,developer,publisher,platforms,technologies,last_changenumber,last_record_update,release_date,positive_reviews_per,total_reviews,player_count_now,multiplayer,steam_trading_cards,valve_anti_cheat,in_app_purchases,steam_workshop,cloud_gaming,cross_platform_multiplayer,stats,remote_play_on_phone,remote_play_on_tablet,sys_date,href
Necesse,1169040,Game,Fair Games ApS,Fair Games ApS,Windows macOS Linux,,31880766,24 October 2025 – 11:19:23 UTC ( ),16 October 2025 – 16:59:07 UTC ( ),93.3,19954,,1,1,0,0,1,0,0,0,0,0,2025-10-25T17:34:56.984852,https://steamdb.info/app/1169040/charts/
skate.,3354750,Game,Full Circle,Electronic Arts,Windows,"EA_AntiCheat AntiCheat , TheiaAntiTamper AntiCheat , Frostbite Engine",31864663,23 October 2025 – 17:02:06 UTC ( ),16 September 2025 – 17:28:00 UTC ( ),68.52,62230,,1,0,0,1,0,0,1,0,0,0,2025-10-25T17:35:04.735144,https://steamdb.info/app/3354750/charts/
Factorio,427520,Game,Wube Software LTD.,Wube Software LTD.,Windows macOS Linux,,31835411,22 October 2025 – 11:07:40 UTC ( ),14 August 2020 – 08:58:00 UTC ( ),97.06,222168,,1,0,0,0,0,1,0,0,0,0,2025-10-25T17:35:14.757296,https://steamdb.info/app/427520/charts/
Fallout 4,377160,Game,Bethesda Game Studios,Bethesda Softworks,Windows,,31894759,25 October 2025 – 03:22:33 UTC ( ),10 November 2015 – 08:00:00 UTC ( ),83.16,400031,,0,0,0,0,0,1,0,0,1,1,2025-10-25T17:37:07.408764,https://steamdb.info/app/377160/charts/
The Binding of Isaac: Rebirth,250900,Game,"Nicalis, Inc. , Edmund McMillen","Nicalis, Inc.",Windows macOS Linux,,31897468,25 October 2025 – 10:01:09 UTC ( ),4 November 2014 – 18:36:00 UTC ( ),97.24,359527,,1,1,0,0,0,0,0,0,0,0,2025-10-25T17:37:25.431583,https://steamdb.info/app/250900/charts/
Soundpad,629520,Application,Leppsoft,Leppsoft,Windows,,31613529,11 October 2025 – 15:15:17 UTC ( ),30 September 2017 – 17:55:18 UTC ( ),96.01,93959,,0,0,0,0,0,0,0,0,0,0,2025-10-25T17:37:46.449441,https://steamdb.info/app/629520/charts/
PEAK,3527290,Game,Team PEAK,"Aggro Crab , Landfall",Windows,Unity Engine,31892636,24 October 2025 – 23:19:44 UTC ( ),16 June 2025 – 17:00:57 UTC ( ),93.74,164473,,1,1,0,0,0,1,0,0,0,0,2025-10-25T17:38:00.115107,https://steamdb.info/app/3527290/charts/
STALCRAFT: X,1818450,Game,EXBO,EXBO,Windows,,31872656,24 October 2025 – 01:56:46 UTC ( ),9 December 2022 – 19:30:00 UTC ( ),73.95,84071,,1,0,0,1,0,1,0,0,0,0,2025-10-25T17:38:17.498019,https://steamdb.info/app/1818450/charts/
Destiny 2,1085660,Game,Bungie,Bungie,Windows,BattlEye AntiCheat,31898824,25 October 2025 – 13:14:47 UTC ( ),1 October 2019 – 17:00:00 UTC ( ),78.0,638971,,1,0,0,1,0,1,0,0,0,0,2025-10-25T17:38:37.008971,https://steamdb.info/app/1085660/charts/
Black Desert,582660,Game,Pearl Abyss,Pearl Abyss,Windows,"EasyAntiCheat AntiCheat , XIGNCODE3 AntiCheat , Electron Container",31874547,24 October 2025 – 04:35:28 UTC ( ),24 May 2017 – 16:00:00 UTC ( ),73.83,89140,,1,1,0,1,0,1,0,0,0,0,2025-10-25T17:38:53.568275,https://steamdb.info/app/582660/charts/
eFootball™,1665460,Game,KONAMI,KONAMI,Windows,Unreal Engine,31851613,23 October 2025 – 04:07:08 UTC ( ),30 September 2021 – 00:00:00 UTC ( ),49.06,99702,,1,0,0,1,0,0,1,0,0,0,2025-10-25T17:39:08.660106,https://steamdb.info/app/1665460/charts/
SCUM,513710,Game,Gamepires,Gamepires,Windows,"BattlEye AntiCheat , Unreal Engine",31883235,24 October 2025 – 13:39:13 UTC ( ),17 June 2025 – 14:55:00 UTC ( ),74.01,118396,,1,1,0,0,0,1,0,1,0,0,2025-10-25T17:39:26.957819,https://steamdb.info/app/513710/charts/
Stellaris,281990,Game,Paradox Development Studio,Paradox Interactive,Windows macOS Linux,"Clausewitz Engine , Paradox_Launcher Launcher",31879831,24 October 2025 – 10:23:33 UTC ( ),9 May 2016 – 15:57:00 UTC ( ),85.59,190414,,1,1,0,0,1,1,1,0,0,0,2025-10-25T17:39:46.995441,https://steamdb.info/app/281990/charts/
Sid Meier's Civilization V,8930,Game,"Firaxis Games , Aspyr (Mac) , Aspyr (Linux)","2K , Aspyr (Mac) , Aspyr (Linux)",Windows macOS Linux,,31825149,21 October 2025 – 22:26:39 UTC ( ),21 September 2010 – 17:00:00 UTC ( ),95.57,206588,,1,1,0,0,0,1,0,0,0,1,2025-10-25T17:40:03.768516,https://steamdb.info/app/8930/charts/
Phasmophobia,739630,Game,Kinetic Games,Kinetic Games,Windows,Unity Engine,31892922,24 October 2025 – 23:46:15 UTC ( ),18 September 2020 – 17:56:00 UTC ( ),95.72,790366,,1,1,0,0,0,0,0,0,0,0,2025-10-25T17:40:19.988918,https://steamdb.info/app/739630/charts/
The Witcher 3: Wild Hunt,292030,Game,CD PROJEKT RED,CD PROJEKT RED,Windows,REDengine Engine,31875870,24 October 2025 – 06:31:28 UTC ( ),18 May 2015 – 22:00:00 UTC ( ),96.14,852939,,0,1,0,0,1,1,0,0,0,1,2025-10-25T17:40:40.813990,https://steamdb.info/app/292030/charts/
THRONE AND LIBERTY,2429640,Game,"NCSOFT , FirstSpark Games",Amazon Games,Windows,"EasyAntiCheat AntiCheat , Unreal Engine , EpicOnlineServices SDK",31895894,25 October 2025 – 05:58:14 UTC ( ),1 October 2024 – 16:59:00 UTC ( ),67.71,66160,,1,0,0,1,0,1,1,0,0,0,2025-10-25T17:40:55.431236,https://steamdb.info/app/2429640/charts/
Rocket League,252950,Game,Psyonix LLC,Psyonix LLC,Windows macOS Linux,"Unreal Engine , EpicOnlineServices SDK",31895007,25 October 2025 – 03:52:05 UTC ( ),7 July 2015 – 06:59:00 UTC ( ),87.24,584193,,1,1,0,0,1,0,0,0,0,0,2025-10-25T17:41:09.987412,https://steamdb.info/app/252950/charts/
Europa Universalis IV,236850,Game,"Paradox Development Studio , Paradox Tinto",Paradox Interactive,Windows macOS Linux,"Clausewitz Engine , Paradox_Launcher Launcher , EpicOnlineServices SDK",31706677,16 October 2025 – 13:53:18 UTC ( ),13 August 2013 – 13:00:00 UTC ( ),86.75,136672,,1,1,0,0,1,1,0,0,0,0,2025-10-25T17:41:29.012533,https://steamdb.info/app/236850/charts/
Jurassic World Evolution 3,2958130,Game,Frontier Developments,Frontier Developments,Windows,Cobra Engine,31900590,25 October 2025 – 16:26:49 UTC ( ),21 October 2025 – 13:55:32 UTC ( ),91.01,2303,,0,1,0,0,0,1,0,0,0,0,2025-10-25T17:41:48.454339,https://steamdb.info/app/2958130/charts/
THE FINALS,2073850,Game,Embark Studios,Embark Studios,Windows,"EasyAntiCheat AntiCheat , TheiaAntiTamper AntiCheat , Unreal Engine , EpicOnlineServices SDK",31882018,24 October 2025 – 12:32:01 UTC ( ),8 December 2023 – 03:49:00 UTC ( ),78.07,248186,,1,0,0,1,0,1,1,0,0,0,2025-10-25T17:42:06.401834,https://steamdb.info/app/2073850/charts/
Kingdom Come: Deliverance II,1771300,Game,Warhorse Studios,Deep Silver,Windows,CryEngine Engine,31892259,24 October 2025 – 22:42:45 UTC ( ),4 February 2025 – 15:34:14 UTC ( ),94.02,120321,,0,1,0,0,0,1,0,0,0,0,2025-10-25T17:43:36.465044,https://steamdb.info/app/1771300/charts/
FINAL FANTASY XIV Online,39210,Game,Square Enix,Square Enix,Windows,,31368228,29 September 2025 – 10:05:00 UTC ( ),18 February 2014 – 18:00:00 UTC ( ),86.61,82162,,1,0,0,0,0,0,1,0,0,1,2025-10-25T17:44:06.256480,https://steamdb.info/app/39210/charts/
